Topic Index,Words and Weights
10,"0.031*""..."" + 0.023*""and"" + 0.020*""of"" + 0.014*""for"" + 0.011*""a"" + 0.011*""-"" + 0.010*""The"" + 0.010*""de"" + 0.009*""e"" + 0.008*""the"" + 0.007*""o"" + 0.007*""consulta"" + 0.006*""|"" + 0.006*""is"" + 0.005*""Â·"" + 0.005*""with"" + 0.004*""2023"" + 0.004*""on"" + 0.004*""Apps"" + 0.004*""A"" + 0.004*""Escola"" + 0.004*""Google"" + 0.004*""Play"" + 0.004*""Kolme"" + 0.004*""Bolsonaro"" + 0.004*""Group"" + 0.004*""Brazilian"" + 0.004*""sua"" + 0.003*""to"" + 0.003*""Follow."" + 0.003*""Soccer"" + 0.003*""com"" + 0.003*""mÃ©dica"" + 0.003*""Sep"" + 0.003*""14,"" + 0.003*""doctor"" + 0.003*""Futebol"" + 0.003*""in"" + 0.003*""conferencing"" + 0.003*""patient"" + 0.003*""HiMeet"" + 0.003*""quality"" + 0.003*""Jair"" + 0.003*""Video"" + 0.003*""para"" + 0.003*""Sua"" + 0.003*""safety."" + 0.003*""this"" + 0.003*""between"" + 0.003*""que"" + 0.003*""em"" + 0.003*""da"" + 0.003*""Brazil's"" + 0.003*""that"" + 0.002*""official"" + 0.002*""its"" + 0.002*""Ã©"" + 0.002*""has"" + 0.002*""um"" + 0.002*""our"" + 0.002*""home"" + 0.002*""from"" + 0.002*""dos"" + 0.002*""running"" + 0.002*""MarcaÃ§Ã£o"" + 0.002*""until"" + 0.002*""barred"" + 0.002*""2030"" + 0.002*""been"" + 0.002*""office"" + 0.002*""Home"" + 0.002*""Reserve"" + 0.002*""Se"" + 0.002*""compromisso"" + 0.002*""Oscar"" + 0.002*""fazer"" + 0.002*""Academy"" + 0.002*""nossos"" + 0.002*""sobre"" + 0.002*""or"""
11,"0.019*""and"" + 0.017*""(@clinicasuaconsulta)"" + 0.017*""Agende"" + 0.016*""consulta"" + 0.016*""Consulta"" + 0.015*""videos"" + 0.015*""sua"" + 0.015*""Instagram"" + 0.015*""photos"" + 0.014*""Sua"" + 0.014*""em"" + 0.012*""..."" + 0.011*""de"" + 0.011*""com"" + 0.011*""SÃ£o"" + 0.011*""|"" + 0.009*""Dr."" + 0.008*""Posts"" + 0.008*""Followers,"" + 0.008*""-"" + 0.008*""â€¢"" + 0.008*""2525"" + 0.008*""urologista"" + 0.007*""See"" + 0.007*""Federal"" + 0.007*""from"" + 0.007*""no"" + 0.007*""101"" + 0.007*""Paulo."" + 0.007*""Olhos"" + 0.007*""do"" + 0.007*""Distrito"" + 0.007*""Following,"" + 0.007*""Hospital"" + 0.007*""1283"" + 0.006*""CristovÃ£o"" + 0.006*""o"" + 0.005*""in"" + 0.005*""seu"" + 0.004*""Consulte"" + 0.004*""angiologista"" + 0.004*""um"" + 0.004*""Marque"" + 0.004*""e"" + 0.004*""Neto."" + 0.004*""oftalmologistas."" + 0.004*""horÃ¡rio"" + 0.004*""equipe"" + 0.004*""a"" + 0.004*""qualificada"" + 0.004*""Meta"" + 0.003*""is"" + 0.003*""Paulo"" + 0.003*""the"" + 0.003*""of"" + 0.003*""Western"" + 0.002*""Plus"" + 0.002*""Best"" + 0.002*""Jun"" + 0.002*""2023"" + 0.002*""occur"" + 0.002*""can't"" + 0.002*""they"" + 0.002*""explode"" + 0.002*""light."" + 0.002*""Space"" + 0.002*""nuclear"" + 0.002*""stars"" + 0.002*""burst"" + 0.002*""supernova?"" + 0.002*""their"" + 0.002*""What"" + 0.002*""fuel"" + 0.002*""Supernovas"" + 0.002*""brilliant"" + 0.002*""handle"" + 0.002*""when"" + 0.002*""19,"" + 0.002*""Metaverse"" + 0.002*""find"""
12,"0.030*""..."" + 0.029*""a"" + 0.025*""o"" + 0.020*""Group"" + 0.020*""Kolme"" + 0.020*""consulta"" + 0.018*""e"" + 0.015*""to"" + 0.014*""and"" + 0.014*""|"" + 0.011*""parceiros"" + 0.011*""com"" + 0.010*""Ã"" + 0.010*""ajudar"" + 0.010*""uma"" + 0.010*""compromisso"" + 0.010*""podemos"" + 0.010*""saber"" + 0.010*""de"" + 0.010*""Reserve"" + 0.010*""mais"" + 0.010*""suaÂ"" + 0.010*""nossos"" + 0.009*""MarcaÃ§Ã£o"" + 0.009*""sem"" + 0.009*""si"" + 0.009*""quiser"" + 0.009*""sobre"" + 0.009*""fazer"" + 0.009*""Se"" + 0.009*""para"" + 0.009*""Instagram"" + 0.009*""que"" + 0.009*""sua"" + 0.008*""um"" + 0.008*""dos"" + 0.008*""for"" + 0.006*""in"" + 0.006*""-"" + 0.005*""the"" + 0.005*""&"" + 0.005*""of"" + 0.005*""videos"" + 0.004*""an"" + 0.004*""photos"" + 0.004*""Sua"" + 0.004*""(@clinicasuaconsulta)"" + 0.004*""from"" + 0.003*""Consulta"" + 0.003*""with"" + 0.003*""Create"" + 0.002*""on"" + 0.002*""or"" + 0.002*""This"" + 0.002*""What"" + 0.002*""Universo"" + 0.002*""results"" + 0.002*""your"" + 0.002*""Following,"" + 0.002*""Posts"" + 0.002*""food"" + 0.002*""2525"" + 0.002*""101"" + 0.002*""See"" + 0.002*""â€¢"" + 0.002*""Followers,"" + 0.002*""A"" + 0.002*""API"" + 0.002*""Spanish"" + 0.002*""English"" + 0.002*""Diner"" + 0.002*""capture,"" + 0.002*""share"" + 0.002*""â€“"" + 0.002*""continue"" + 0.002*""more"" + 0.002*""open"" + 0.002*""social"" + 0.002*""it"" + 0.002*""Academy"""
13,"0.041*""and"" + 0.029*""Instagram"" + 0.028*""-"" + 0.027*""Sua"" + 0.026*""photos"" + 0.026*""videos"" + 0.021*""(@clinicasuaconsulta)"" + 0.021*""Consulta"" + 0.018*""..."" + 0.014*""from"" + 0.014*""Following,"" + 0.013*""Followers,"" + 0.013*""See"" + 0.013*""â€¢"" + 0.013*""Posts"" + 0.012*""consulta"" + 0.011*""101"" + 0.011*""2525"" + 0.011*""em"" + 0.010*""of"" + 0.010*""SÃ£o"" + 0.009*""1283"" + 0.008*""sua"" + 0.008*""Agende"" + 0.008*""the"" + 0.008*""com"" + 0.007*""Dr."" + 0.007*""urologista"" + 0.007*""|"" + 0.007*""on"" + 0.007*""CristovÃ£o"" + 0.007*""Paulo."" + 0.007*""Google"" + 0.006*""e"" + 0.006*""Play"" + 0.006*""Apps"" + 0.005*""Sep"" + 0.005*""safety."" + 0.005*""Video"" + 0.005*""HiMeet"" + 0.005*""between"" + 0.005*""quality"" + 0.005*""doctor"" + 0.005*""14,"" + 0.005*""2023"" + 0.005*""mÃ©dica"" + 0.005*""conferencing"" + 0.004*""patient"" + 0.004*""with"" + 0.004*""Â·"" + 0.004*""to"" + 0.004*""in"" + 0.004*""horÃ¡rio"" + 0.004*""Consulte"" + 0.004*""seu"" + 0.003*""angiologista"" + 0.003*""Neto."" + 0.003*""um"" + 0.003*""Marque"" + 0.003*""Paulo"" + 0.003*""o"" + 0.003*""de"" + 0.003*""Judo"" + 0.003*""is"" + 0.002*""The"" + 0.002*""over"" + 0.002*""for"" + 0.002*""1282"" + 0.002*""MMA"" + 0.002*""In"" + 0.002*""at"" + 0.002*""a"" + 0.002*""AviÃ£o"" + 0.002*""Xand"" + 0.002*""Academia"" + 0.002*""Ana"" + 0.002*""Aviao"" + 0.002*""natural"" + 0.002*""Pretoria"" + 0.002*""Judiciary"""
14,"0.030*""..."" + 0.017*""|"" + 0.014*""sua"" + 0.013*""consulta"" + 0.012*""Agende"" + 0.011*""de"" + 0.009*""com"" + 0.008*""em"" + 0.008*""o"" + 0.008*""the"" + 0.008*""of"" + 0.007*""SÃ£o"" + 0.006*""Portuguese-English"" + 0.006*""English"" + 0.006*""Collins"" + 0.006*""e"" + 0.006*""in"" + 0.006*""a"" + 0.006*""Netflix"" + 0.005*""urologista"" + 0.005*""Hospital"" + 0.005*""Paulo."" + 0.005*""do"" + 0.005*""CristovÃ£o"" + 0.005*""Olhos"" + 0.005*""um"" + 0.005*""no"" + 0.005*""Dr."" + 0.005*""Portuguese"" + 0.004*""-"" + 0.004*""Distrito"" + 0.004*""Federal"" + 0.004*""and"" + 0.004*""Dirichlet"" + 0.004*""from"" + 0.004*""Site"" + 0.004*""Jair"" + 0.004*""for"" + 0.003*""with"" + 0.003*""""AVIÃƒO"""" + 0.003*""""FUTEBOL"""" + 0.003*""into"" + 0.003*""Watch"" + 0.003*""translations."" + 0.003*""translation"" + 0.003*""process"" + 0.003*""Dictionary"" + 0.003*""Translate"" + 0.003*""official"" + 0.003*""over"" + 0.003*""100000"" + 0.003*""The"" + 0.003*""to"" + 0.003*""Consulte"" + 0.003*""on"" + 0.003*""his"" + 0.003*""Paulo"" + 0.003*""Bolsonaro"" + 0.003*""is"" + 0.003*""horÃ¡rio"" + 0.003*""Marque"" + 0.003*""angiologista"" + 0.003*""Maine"" + 0.003*""Maritime"" + 0.002*""your"" + 0.002*""da"" + 0.002*""Ã"" + 0.002*""equipe"" + 0.002*""Academy"" + 0.002*""Neto."" + 0.002*""Brazil's"" + 0.002*""oftalmologistas."" + 0.002*""qualificada"" + 0.002*""seu"" + 0.002*""Group"" + 0.002*""Se"" + 0.002*""que"" + 0.002*""all"" + 0.002*""are"" + 0.002*""has"""
15,"0.058*""..."" + 0.050*""sua"" + 0.027*""Pimenta."" + 0.027*""ManhÃ£,"" + 0.027*""Dr."" + 0.027*""VERIFICAR"" + 0.027*""NeurocirurgiÃ£o"" + 0.026*""DIA"" + 0.026*""DA"" + 0.026*""Luiz"" + 0.026*""Escolha"" + 0.026*""TURNO:"" + 0.026*""SEMANA:"" + 0.026*""um"" + 0.026*""Cirurgia"" + 0.026*""da"" + 0.026*""Coluna."" + 0.026*""Agende"" + 0.026*""DISPONIBILIDADE."" + 0.025*""consulta"" + 0.025*""consulta."" + 0.025*""profissional."" + 0.025*""TardeÂ"" + 0.009*""and"" + 0.007*""Limpeza"" + 0.007*""Ava-Conda."" + 0.007*""Sua"" + 0.007*""Consulta"" + 0.005*""by"" + 0.004*""Â·"" + 0.004*""With"" + 0.004*""ASMR"""" + 0.004*""(Portugues):"" + 0.004*""the"" + 0.004*""""Ava-Conda"" + 0.004*""Directed"" + 0.004*""(TV"" + 0.004*""(Portugues)"" + 0.003*""-"" + 0.002*""of"" + 0.002*""for"" + 0.002*""(Brazil,"" + 0.002*""as"" + 0.002*""de"" + 0.002*""a"" + 0.001*""#dianacionaldaarvore"" + 0.001*""Brasil"" + 0.001*""que"" + 0.001*""with"" + 0.001*""free"" + 0.001*""on"" + 0.001*""Wiktionary,"" + 0.001*""edit"" + 0.001*""dictionary"" + 0.001*""Ã©"" + 0.001*""negÃ³cios"" + 0.001*""any"" + 0.001*""that"" + 0.001*""ou"" + 0.001*""2020"" + 0.001*""after"" + 0.001*""|"" + 0.001*""from"" + 0.001*""Academy"" + 0.001*""Sep"" + 0.001*""No"" + 0.001*""image."" + 0.001*""#meioambiente"" + 0.001*""text"" + 0.001*""#preserveomeioambiente"" + 0.001*""#valtellinadobrasil."" + 0.001*""Comment."" + 0.001*""alternative"" + 0.001*""do"" + 0.001*""LinkedIn:"" + 0.001*""description"" + 0.001*""21,"" + 0.001*""15"" + 0.001*""this"" + 0.001*""Like"""
16,"0.030*""de"" + 0.027*""e"" + 0.024*""consulta"" + 0.019*""a"" + 0.018*""..."" + 0.017*""sua"" + 0.014*""o"" + 0.014*""Group"" + 0.013*""com"" + 0.012*""|"" + 0.012*""no"" + 0.012*""Kolme"" + 0.011*""Hospital"" + 0.011*""Agende"" + 0.011*""Ã"" + 0.011*""Federal"" + 0.011*""Olhos"" + 0.011*""Distrito"" + 0.011*""do"" + 0.009*""of"" + 0.008*""quiser"" + 0.008*""the"" + 0.008*""Se"" + 0.008*""podemos"" + 0.008*""fazer"" + 0.007*""mais"" + 0.007*""parceiros"" + 0.007*""sem"" + 0.007*""uma"" + 0.007*""para"" + 0.007*""saber"" + 0.007*""si"" + 0.007*""sobre"" + 0.007*""compromisso"" + 0.007*""in"" + 0.006*""-"" + 0.006*""dos"" + 0.006*""MarcaÃ§Ã£o"" + 0.006*""ajudar"" + 0.006*""que"" + 0.006*""nossos"" + 0.006*""um"" + 0.006*""Reserve"" + 0.006*""suaÂ"" + 0.005*""qualificada"" + 0.005*""equipe"" + 0.005*""oftalmologistas."" + 0.005*""da"" + 0.005*""is"" + 0.005*""to"" + 0.004*""The"" + 0.004*""on"" + 0.004*""/"" + 0.003*""as"" + 0.003*""and"" + 0.003*""Metal"" + 0.002*""MatemÃ¡ticas"" + 0.002*""MinistÃ©rio"" + 0.002*""ICMC"" + 0.002*""Bolsonaro"" + 0.002*""GestÃ£o"" + 0.002*""Instituto"" + 0.002*""CiÃªncias"" + 0.002*""Instagram"" + 0.002*""La"" + 0.002*""Rioja"" + 0.002*""Carros"" + 0.002*""into"" + 0.002*""turn"" + 0.002*""it"" + 0.002*""Exterior"" + 0.002*""Concepts"" + 0.002*""*"" + 0.001*""for"" + 0.001*""an"" + 0.001*""should"" + 0.001*""Facts"" + 0.001*""How"" + 0.001*""photos"" + 0.001*""HI"""
17,"0.040*""and"" + 0.036*""Sua"" + 0.035*""(@clinicasuaconsulta)"" + 0.034*""Consulta"" + 0.033*""videos"" + 0.033*""Instagram"" + 0.033*""photos"" + 0.018*""â€¢"" + 0.017*""Posts"" + 0.017*""See"" + 0.016*""Followers,"" + 0.016*""-"" + 0.016*""from"" + 0.016*""Following,"" + 0.016*""2525"" + 0.016*""101"" + 0.014*""1283"" + 0.007*""Vitamin"" + 0.006*""the"" + 0.005*""5%"" + 0.005*""C"" + 0.005*""of"" + 0.004*""to"" + 0.004*""Eye"" + 0.004*""SUPER"" + 0.004*""Brightening"" + 0.004*""Caffeine"" + 0.004*""Cream"" + 0.004*""Â·"" + 0.004*""+"" + 0.004*""NOVA"" + 0.003*""..."" + 0.003*""API"" + 0.002*""The"" + 0.002*""Ava-Conda."" + 0.002*""Limpeza"" + 0.002*""a"" + 0.002*""1282"" + 0.002*""worldwide"" + 0.002*""cachorrolozano"" + 0.002*""picture."" + 0.002*""Times"" + 0.002*""Caffeine:Â"" + 0.002*""dark"" + 0.002*""Financial"" + 0.002*""C:"" + 0.002*""THD"" + 0.002*""Jair"" + 0.002*""shop.cachorrolozano.com."" + 0.002*""Buy"" + 0.002*""regime"" + 0.002*""under"" + 0.002*""subject"" + 0.002*""Practice."" + 0.002*""(@cachorrolozano)"" + 0.002*""shipping"" + 0.002*""circles."" + 0.002*""Editorial"" + 0.002*""Bolsonaro"" + 0.002*""1,179"" + 0.002*""An"" + 0.002*""followers"" + 0.002*""that"" + 0.002*""Press/Prensa's"" + 0.002*""Artist"" + 0.002*""improves"" + 0.002*""FT"" + 0.002*""profile"" + 0.002*""79.6K"" + 0.002*""posts;"" + 0.002*""Code"" + 0.002*""Press/Prensa."" + 0.002*""online"" + 0.002*""here:"" + 0.002*""self-regulation"" + 0.002*""journalism"" + 0.002*""ultra"" + 0.002*""stable"" + 0.002*""look"" + 0.002*""are"""
18,"0.042*""de"" + 0.038*""..."" + 0.017*""o"" + 0.016*""Agende"" + 0.016*""-"" + 0.016*""sua"" + 0.014*""CRV"" + 0.014*""e"" + 0.009*""consulta"" + 0.009*""que"" + 0.009*""a"" + 0.008*""prÃ©-agendamento"" + 0.007*""uma"" + 0.007*""oferece."" + 0.007*""processo"" + 0.007*""vocÃª"" + 0.007*""comodidade"" + 0.007*""Consulta"" + 0.007*""and"" + 0.007*""Para"" + 0.007*""maior"" + 0.007*""pode"" + 0.007*""iniciar"" + 0.007*""consultaÂ"" + 0.007*""comodidade,"" + 0.007*""Oftalmologia"" + 0.007*""seu"" + 0.006*""the"" + 0.006*""do"" + 0.005*""Instagram"" + 0.005*""photos"" + 0.004*""videos"" + 0.003*""Bolsonaro"" + 0.003*""Globo"" + 0.003*""for"" + 0.003*""Â·"" + 0.003*""is"" + 0.003*""from"" + 0.003*""has"" + 0.003*""no"" + 0.003*""Wikipedia"" + 0.003*""in"" + 0.003*""See"" + 0.003*""The"" + 0.003*""Following,"" + 0.003*""ComputaÃ§Ã£o"" + 0.002*""Centro"" + 0.002*""Posts"" + 0.002*""da"" + 0.002*""Followers,"" + 0.002*""â€¢"" + 0.002*""Jair"" + 0.002*""MID"" + 0.002*""Meio-Ambiente"" + 0.002*""SARS-CoV-2"" + 0.002*""Filmes"" + 0.002*""Dic"" + 0.002*""(@mobidicnh)"" + 0.002*""Secretaria"" + 0.002*""NataÃ§Ã£o"" + 0.002*""Mobi"" + 0.002*""(@universo.mid)"" + 0.002*""Brazilian"" + 0.002*""Universo"" + 0.002*""Estado"" + 0.002*""of"" + 0.002*""Hospital"" + 0.002*""Distrito"" + 0.002*""Federal"" + 0.002*""Olhos"" + 0.002*""theÂ"" + 0.002*""with"" + 0.002*""Elon"" + 0.002*""InovaÃ§Ã£o"" + 0.002*""|"" + 0.002*""Home"" + 0.002*""obter"" + 0.002*""com"" + 0.002*""currently"" + 0.002*""an"""
19,"0.025*""in"" + 0.022*""the"" + 0.019*""and"" + 0.016*""..."" + 0.012*""-"" + 0.009*""Elon"" + 0.008*""by"" + 0.008*""a"" + 0.007*""Judo"" + 0.006*""Musk"" + 0.005*""from"" + 0.005*""studio"" + 0.005*""Tesla,"" + 0.005*""of"" + 0.005*""Hotel"" + 0.005*""our"" + 0.004*""consulta"" + 0.004*""to"" + 0.004*""sua"" + 0.004*""for"" + 0.004*""Agende"" + 0.004*""de"" + 0.003*""Georgia"" + 0.003*""build"" + 0.003*""theÂ"" + 0.003*""Carros"" + 0.003*""Show"" + 0.003*""design"" + 0.003*""Wikipedia"" + 0.003*""Graphic"" + 0.003*""Paris"" + 0.003*""Liverpool"" + 0.003*""Quest"" + 0.003*""Barcelona."" + 0.003*""Fantastic"" + 0.003*""based"" + 0.003*""Musk:"" + 0.003*""SpaceX,"" + 0.003*""3"" + 0.003*""Florence"" + 0.003*""an"" + 0.003*""public"" + 0.003*""programs"" + 0.003*""was"" + 0.003*""Universo"" + 0.003*""dÃ¡"" + 0.003*""forÃ§a"" + 0.003*""Futebol"" + 0.003*""is"" + 0.003*""on"" + 0.003*""2023"" + 0.003*""with"" + 0.003*""Hospital"" + 0.003*""Distrito"" + 0.002*""Olhos"" + 0.002*""Federal"" + 0.002*""no"" + 0.002*""do"" + 0.002*""com"" + 0.002*""YouTube"" + 0.002*""app."" + 0.002*""your"" + 0.002*""The"" + 0.002*""research"" + 0.002*""distributing"" + 0.002*""electric"" + 0.002*""top"" + 0.002*""Future"" + 0.002*""Forbes"" + 0.002*""PathÃ©."" + 0.002*""traditional"" + 0.002*""improving"" + 0.002*""For"" + 0.002*""can"" + 0.002*""lives,"" + 0.002*""400"" + 0.002*""Vance"" + 0.002*""producer"" + 0.002*""reach."" + 0.002*""maker"""
